The average error:	 0.0183675%	 
The max error:	 0.0342904%	 
The min error:	 0.0093245%	 
The standard error:	 0.00620057%	 
Two sigma region:{0.00596635%, 0.0307686%}	 

every case's error:	 
1 :	 |	 0.0189244%	 
2 :	 |	 0.0208088%	 
3 :	 |	 0.0230596%	 
4 :	 |	 0.0263568%	 
5 :	 |	 0.0164357%	 
6 :	 |	 0.0117788%	 
7 :	 |	 0.0178016%	 
8 :	 |	 0.011838%	 
9 :	 |	 0.0327605%	 
10 :	 |	 0.0205297%	 
11 :	 |	 0.0179426%	 
12 :	 |	 0.0225418%	 
13 :	 |	 0.01557%	 
14 :	 |	 0.0151756%	 
15 :	 |	 0.0093245%	 
16 :	 |	 0.0172332%	 
17 :	 |	 0.0122732%	 
18 :	 |	 0.0211681%	 
19 :	 |	 0.0190597%	 
20 :	 |	 0.0131245%	 
21 :	 |	 0.0124199%	 
22 :	 |	 0.00992519%	 
23 :	 |	 0.0100416%	 
24 :	 |	 0.0211905%	 
25 :	 |	 0.0141929%	 
26 :	 |	 0.0096852%	 
27 :	 |	 0.0258557%	 
28 :	 |	 0.0217202%	 
29 :	 |	 0.0244517%	 
30 :	 |	 0.0215048%	 
31 :	 |	 0.0187745%	 
32 :	 |	 0.0342904%	 
