index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
1	 |	 -0.150913	 -0.01342	 -0.00283006	 1.78e-06	 -0.00402955	 
2	 |	 -0.156207	 -0.0150775	 -0.00450923	 -6.66e-06	 -0.00152215	 
3	 |	 -0.155297	 -0.0161246	 -0.00498469	 3.84e-06	 0	 
4	 |	 -0.0872928	 -0.0157389	 -0.00312926	 2.89e-06	 -0.00369633	 
5	 |	 -0.0907447	 -0.0175433	 -0.00479816	 -7.46e-06	 -0.00150076	 
6	 |	 -0.0910707	 -0.01861	 -0.00525994	 -6.93e-06	 0	 
7	 |	 -0.0790002	 -0.0163307	 -0.00320739	 2.39e-06	 -0.00363783	 
8	 |	 -0.0824007	 -0.018026	 -0.00487211	 -7.59e-06	 -0.00148312	 
9	 |	 -0.0830085	 -0.0191196	 -0.00535513	 -5.21e-06	 0	 
10	 |	 -0.0394345	 -0.0218235	 -0.00390273	 -1.78e-06	 -0.00301451	 
11	 |	 -0.0422059	 -0.0233402	 -0.00556511	 -1.507e-05	 -0.00132439	 
12	 |	 -0.0425171	 -0.0242448	 -0.006032	 -1.577e-05	 0	 
13	 |	 -0.0244207	 -0.0264251	 -0.00452267	 -4.342e-05	 -0.00261028	 
14	 |	 -0.0269277	 -0.0276912	 -0.00627542	 -5.915e-05	 -0.00117154	 
15	 |	 -0.0271728	 -0.0285532	 -0.00663936	 -5.289e-05	 0	 
16	 |	 -0.0163768	 -0.0299648	 -0.00508081	 -0.00017529	 -0.00222562	 
17	 |	 -0.0184555	 -0.0312285	 -0.00682843	 -0.00018273	 -0.00104704	 
18	 |	 -0.0187348	 -0.0319815	 -0.00720507	 -0.00020181	 0	 
19	 |	 -0.0115338	 -0.03254	 -0.00553993	 -0.00040866	 -0.00187736	 
20	 |	 -0.0132805	 -0.0339154	 -0.00729126	 -0.00046713	 -0.00092903	 
21	 |	 -0.0135917	 -0.0344906	 -0.00767681	 -0.00047969	 0	 
22	 |	 -0.00618661	 -0.0356948	 -0.0062425	 -0.00142262	 -0.00129997	 
23	 |	 -0.00760837	 -0.0373088	 -0.00802698	 -0.00151597	 -0.00069582	 
24	 |	 -0.00755519	 -0.0376284	 -0.00835088	 -0.00148675	 0	 
25	 |	 -0.00284873	 -0.0382158	 -0.00687727	 -0.00404883	 -0.00072989	 
26	 |	 -0.00367281	 -0.0401576	 -0.00869428	 -0.00408736	 -0.00032963	 
27	 |	 -0.00373815	 -0.0404466	 -0.00900646	 -0.00415916	 0	 
28	 |	 -0.00119883	 -0.0396771	 -0.00728979	 -0.00927899	 -0.00035022	 
29	 |	 -0.00150835	 -0.0417724	 -0.0091384	 -0.0093858	 -0.0001631	 
30	 |	 -0.00158215	 -0.0419938	 -0.00938466	 -0.00945609	 0	 
31	 |	 -0.00052789	 -0.0405703	 -0.00748741	 -0.0157174	 -0.000163	 
32	 |	 -0.00069272	 -0.0424567	 -0.00933573	 -0.0158688	 -7.58e-05	 
33	 |	 -0.0006906	 -0.0426426	 -0.00958047	 -0.0158689	 0	 
34	 |	 0	 -0.0406709	 -0.00763313	 -0.188616	 0	 
35	 |	 0	 -0.0430697	 -0.00949523	 -0.188801	 0	 
36	 |	 0	 -0.0428537	 -0.00978957	 -0.188486	 0	 
37	 |	 -0.154791	 -0.0127941	 -0.00257623	 7.6e-07	 -0.00156165	 
38	 |	 -0.158146	 -0.0137141	 -0.00411606	 1.232e-05	 -0.00086739	 
39	 |	 -0.158741	 -0.0143773	 -0.00447652	 -4.92e-06	 0	 
40	 |	 -0.0905262	 -0.0151422	 -0.00286107	 3.8e-07	 -0.00149307	 
41	 |	 -0.0935033	 -0.0164122	 -0.0044261	 8.01e-06	 -0.00084922	 
