index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
1	 |	 -0.184862	 0	 -0.00542692	 0	 -0.00947328	 
2	 |	 -0.194122	 0	 -0.00822901	 0	 -0.00620655	 
3	 |	 -0.195174	 0	 -0.0143408	 0	 0	 
4	 |	 -0.110378	 0	 -0.00596587	 0	 -0.00899535	 
5	 |	 -0.119822	 0	 -0.00871496	 0	 -0.00605408	 
6	 |	 -0.120623	 0	 -0.0148761	 0	 0	 
7	 |	 -0.100885	 0	 -0.0061046	 0	 -0.00890562	 
8	 |	 -0.110372	 0	 -0.00883466	 0	 -0.00601411	 
9	 |	 -0.111368	 0	 -0.0149788	 0	 0	 
10	 |	 -0.0557465	 0	 -0.00737707	 0	 -0.00804547	 
11	 |	 -0.0641475	 0	 -0.01005	 0	 -0.00571217	 
12	 |	 -0.0660079	 0	 -0.0160309	 0	 0	 
13	 |	 -0.0389329	 0	 -0.00860904	 0	 -0.00735284	 
14	 |	 -0.0460675	 0	 -0.0112566	 0	 -0.00540251	 
15	 |	 -0.0477518	 0	 -0.0172351	 0	 0	 
16	 |	 -0.0297135	 0	 -0.00976735	 0	 -0.00681964	 
17	 |	 -0.0362709	 0	 -0.0124802	 0	 -0.00517491	 
18	 |	 -0.037988	 0	 -0.0183483	 0	 0	 
19	 |	 -0.0239255	 0	 -0.0108913	 0	 -0.0062847	 
20	 |	 -0.0297261	 0	 -0.0136616	 0	 -0.00496635	 
21	 |	 -0.0314834	 0	 -0.0192032	 0	 0	 
22	 |	 -0.0167906	 0	 -0.0130011	 0	 -0.00535645	 
23	 |	 -0.0214773	 0	 -0.0157577	 0	 -0.00471536	 
24	 |	 -0.0231066	 0	 -0.021294	 0	 0	 
25	 |	 -0.0111908	 0	 -0.0156591	 0	 -0.004316	 
26	 |	 -0.0149005	 0	 -0.0186621	 0	 -0.00390202	 
27	 |	 -0.015524	 0	 -0.0241471	 0	 0	 
28	 |	 -0.00729274	 0	 -0.0184133	 0	 -0.00334187	 
29	 |	 -0.0097457	 0	 -0.0218671	 0	 -0.00340232	 
30	 |	 -0.0103152	 0	 -0.0268505	 0	 0	 
31	 |	 -0.00512433	 0	 -0.020385	 0	 -0.00280119	 
32	 |	 -0.00705605	 0	 -0.0240236	 0	 -0.00305945	 
33	 |	 -0.00763329	 0	 -0.028602	 0	 0	 
34	 |	 0	 0	 -0.028458	 0	 0	 
35	 |	 0	 0	 -0.0338047	 0	 0	 
36	 |	 0	 0	 -0.0350393	 0	 0	 
37	 |	 -0.191593	 0	 -0.00451001	 0	 -0.00447994	 
38	 |	 -0.199707	 0	 -0.00699453	 0	 -0.00406573	 
39	 |	 -0.199657	 0	 -0.011654	 0	 0	 
40	 |	 -0.11646	 0	 -0.00505019	 0	 -0.00452116	 
41	 |	 -0.124134	 0	 -0.00752628	 0	 -0.00409532	 
42	 |	 -0.126028	 0	 -0.0121636	 0	 0	 
