index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
92	 |	 -0.0345953	 0	 -0.00571858	 0	 -0.00247625	 
93	 |	 -0.036419	 0	 -0.00945375	 0	 0	 
94	 |	 -0.0231733	 0	 -0.00520396	 0	 -0.002282	 
95	 |	 -0.0271966	 0	 -0.00668776	 0	 -0.00265967	 
96	 |	 -0.0291288	 0	 -0.0106789	 0	 0	 
97	 |	 -0.0173864	 0	 -0.00642636	 0	 -0.00246567	 
98	 |	 -0.0207443	 0	 -0.00805992	 0	 -0.002781	 
99	 |	 -0.0224111	 0	 -0.0122876	 0	 0	 
100	 |	 -0.0129591	 0	 -0.00787727	 0	 -0.00258425	 
101	 |	 -0.0155795	 0	 -0.00977915	 0	 -0.00281067	 
102	 |	 -0.0169602	 0	 -0.0141811	 0	 0	 
103	 |	 -0.0102943	 0	 -0.0091522	 0	 -0.00248052	 
104	 |	 -0.0124419	 0	 -0.011281	 0	 -0.00282069	 
105	 |	 -0.0134853	 0	 -0.0157659	 0	 0	 
106	 |	 0	 0	 -0.0196442	 0	 0	 
107	 |	 0	 0	 -0.0235138	 0	 0	 
108	 |	 0	 0	 -0.025687	 0	 0	 
109	 |	 -0.163	 0	 -0.00530649	 0	 -0.0139958	 
110	 |	 -0.171435	 0	 -0.00690082	 0	 -0.00936827	 
111	 |	 -0.174926	 0	 -0.0158649	 0	 0	 
112	 |	 -0.0997487	 0	 -0.00551767	 0	 -0.0131125	 
113	 |	 -0.108032	 0	 -0.00708697	 0	 -0.00906426	 
114	 |	 -0.11011	 0	 -0.0159438	 0	 0	 
115	 |	 -0.0915064	 0	 -0.00557202	 0	 -0.0129241	 
116	 |	 -0.0995709	 0	 -0.00712823	 0	 -0.00900368	 
117	 |	 -0.10192	 0	 -0.0159725	 0	 0	 
118	 |	 -0.0525747	 0	 -0.00611501	 0	 -0.0113099	 
119	 |	 -0.0595674	 0	 -0.00762828	 0	 -0.00843858	 
120	 |	 -0.0627048	 0	 -0.0161958	 0	 0	 
121	 |	 -0.0379629	 0	 -0.00663639	 0	 -0.0102283	 
