index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
279	 |	 -0.0103092	 -0.060924	 -0.0589676	 -0.00391413	 0	 
280	 |	 -0.00485899	 -0.0631238	 -0.0609273	 -0.00894715	 -0.0002078	 
281	 |	 -0.00488771	 -0.063039	 -0.0608041	 -0.00914031	 -0.0002862	 
282	 |	 -0.00504745	 -0.0631456	 -0.0610716	 -0.00900945	 0	 
283	 |	 -0.00240531	 -0.0641301	 -0.0621246	 -0.0152625	 -9.028e-05	 
284	 |	 -0.00213755	 -0.0643145	 -0.0625751	 -0.0153763	 -0.00018363	 
285	 |	 -0.00258463	 -0.0640459	 -0.0625128	 -0.0153419	 0	 
286	 |	 0	 -0.0654156	 -0.0633154	 -0.190697	 0	 
287	 |	 0	 -0.0654252	 -0.0633652	 -0.190833	 0	 
288	 |	 0	 -0.0650771	 -0.0633535	 -0.190442	 0	 
289	 |	 -0.20526	 -0.0465659	 -0.0447323	 2e-08	 2.119e-05	 
290	 |	 -0.203463	 -0.0465385	 -0.0448103	 1.47e-06	 -4.81e-06	 
291	 |	 -0.204106	 -0.0465278	 -0.0448349	 -5.09e-06	 0	 
292	 |	 -0.128687	 -0.0474425	 -0.045571	 -2e-08	 1.96e-05	 
293	 |	 -0.127294	 -0.0474099	 -0.0456621	 1.75e-06	 -3.79e-06	 
294	 |	 -0.127499	 -0.0473774	 -0.0456327	 -4.29e-06	 0	 
295	 |	 -0.118433	 -0.0476792	 -0.0457828	 -4e-08	 1.579e-05	 
296	 |	 -0.117367	 -0.0476313	 -0.0458175	 1.7e-06	 2.43e-06	 
297	 |	 -0.117534	 -0.0476095	 -0.045804	 -4.4e-06	 0	 
298	 |	 -0.0687117	 -0.0497511	 -0.0478094	 -3.05e-06	 1.009e-05	 
299	 |	 -0.0684841	 -0.0498043	 -0.0478456	 -3.31e-06	 -6.3e-06	 
300	 |	 -0.0684457	 -0.0498257	 -0.0478388	 -4.49e-06	 0	 
301	 |	 -0.0487737	 -0.0517936	 -0.0496413	 -9.099e-05	 2.743e-05	 
302	 |	 -0.0484146	 -0.0513746	 -0.0497921	 -9.547e-05	 1.92e-06	 
303	 |	 -0.0486599	 -0.0513663	 -0.0497338	 -0.00010103	 0	 
304	 |	 -0.0372606	 -0.0535313	 -0.0514495	 -0.00029105	 -9.73e-06	 
305	 |	 -0.0373024	 -0.0535656	 -0.0514805	 -0.0002875	 -5.56e-06	 
306	 |	 -0.0361727	 -0.0533508	 -0.0514622	 -0.0002985	 0	 
307	 |	 -0.0294025	 -0.0551051	 -0.0530171	 -0.00057491	 -9.93e-06	 
308	 |	 -0.0290605	 -0.0551818	 -0.0531196	 -0.00057397	 -1.95e-06	 
309	 |	 -0.0291829	 -0.0551588	 -0.0531123	 -0.00065203	 0	 
310	 |	 -0.0191853	 -0.0578971	 -0.0556295	 -0.00196434	 -7.76e-06	 
311	 |	 -0.0190371	 -0.057745	 -0.0557393	 -0.00194359	 2.68e-06	 
312	 |	 -0.0188477	 -0.0577062	 -0.0558412	 -0.00166406	 0	 
313	 |	 -0.0106933	 -0.0608995	 -0.0586359	 -0.00445806	 -4.96e-06	 
314	 |	 -0.0106912	 -0.0608873	 -0.0586628	 -0.00449897	 8.8e-07	 
315	 |	 -0.0103419	 -0.0608069	 -0.0587553	 -0.00438567	 0	 
316	 |	 -0.00505654	 -0.0631392	 -0.0608886	 -0.00981489	 5.4e-07	 
317	 |	 -0.00497097	 -0.0630147	 -0.0609185	 -0.00981	 -3.63e-06	 
318	 |	 -0.0050507	 -0.0631867	 -0.0610068	 -0.00946221	 0	 
319	 |	 -0.00217189	 -0.0644061	 -0.0622556	 -0.0162559	 -6.31e-06	 
320	 |	 -0.00221147	 -0.0644937	 -0.0622748	 -0.0162325	 -7.3e-07	 
321	 |	 -0.0024223	 -0.0643992	 -0.0622186	 -0.0162101	 0	 
322	 |	 0	 -0.0649813	 -0.0632286	 -0.206806	 0	 
323	 |	 0	 -0.0654883	 -0.0634344	 -0.206839	 0	 
324	 |	 0	 -0.0650724	 -0.0636229	 -0.206738	 0	 
