index	 |	 c12	 c13	 c14	 c1t	 c1b	 c23	 c24	 c2t	 c2b	 
1	 |	 -0.00754463	 -0.185691	 -0.00707534	 0	 -0.00677308	 -0.0069381	 -0.158571	 0	 -0.00085098	 
2	 |	 -0.0079154	 -0.185108	 -0.00788787	 0	 -0.00947247	 -0.00754672	 -0.15814	 0	 -0.00558399	 
3	 |	 -0.0094391	 -0.110008	 -0.00705485	 0	 -0.00722118	 -0.00709257	 -0.0943438	 0	 -0.00084852	 
4	 |	 -0.00974622	 -0.11016	 -0.00789765	 0	 -0.009839	 -0.00790865	 -0.0948949	 0	 -0.00558553	 
5	 |	 -0.00987888	 -0.100336	 -0.00704132	 0	 -0.00733587	 -0.00694993	 -0.0859398	 0	 -0.00085619	 
6	 |	 -0.0101515	 -0.100421	 -0.00787727	 0	 -0.00988286	 -0.00769282	 -0.086376	 0	 -0.00559835	 
7	 |	 -0.0136204	 -0.0535183	 -0.0069245	 0	 -0.00849594	 -0.00698728	 -0.0466396	 0	 -0.00087645	 
8	 |	 -0.0140971	 -0.0539995	 -0.00776864	 0	 -0.0108943	 -0.00781271	 -0.0469784	 0	 -0.00568108	 
9	 |	 -0.0180916	 -0.0260566	 -0.00633711	 0	 -0.0107632	 -0.00638662	 -0.0239659	 0	 -0.00109464	 
10	 |	 -0.0185936	 -0.0265724	 -0.00713291	 0	 -0.0128078	 -0.00727624	 -0.0248326	 0	 -0.00581319	 
11	 |	 -0.0203337	 -0.0159542	 -0.00559717	 0	 -0.0127034	 -0.00575953	 -0.0158511	 0	 -0.00164285	 
12	 |	 -0.0208031	 -0.0164145	 -0.00640092	 0	 -0.0146607	 -0.00657795	 -0.0165538	 0	 -0.00630732	 
13	 |	 -0.0222993	 -0.00748229	 -0.00429393	 0	 -0.0157973	 -0.00439387	 -0.00928339	 0	 -0.00322874	 
14	 |	 -0.022882	 -0.00791814	 -0.00485779	 0	 -0.0177714	 -0.00516631	 -0.00965753	 0	 -0.00768394	 
15	 |	 -0.0233723	 0	 0	 0	 -0.0243459	 0	 0	 0	 -0.016023	 
16	 |	 -0.024193	 0	 0	 0	 -0.0254362	 0	 0	 0	 -0.0166907	 
17	 |	 -0.00749859	 -0.189034	 -0.00655833	 0	 -0.00608442	 -0.00772431	 -0.157864	 0	 -0.00077954	 
18	 |	 -0.00784327	 -0.187382	 -0.00699938	 0	 -0.00797441	 -0.00920666	 -0.158747	 0	 -0.00522262	 
19	 |	 -0.00941635	 -0.112811	 -0.00664627	 0	 -0.00659169	 -0.00773305	 -0.0938878	 0	 -0.0007935	 
20	 |	 -0.00963447	 -0.113081	 -0.00725565	 0	 -0.00849406	 -0.0090179	 -0.0943719	 0	 -0.00518984	 
21	 |	 -0.00986658	 -0.103064	 -0.00664055	 0	 -0.00671625	 -0.00771658	 -0.0856594	 0	 -0.00079189	 
22	 |	 -0.0100832	 -0.103436	 -0.0071994	 0	 -0.00860123	 -0.00899751	 -0.0862128	 0	 -0.00520239	 
23	 |	 -0.0136048	 -0.0555562	 -0.00661133	 0	 -0.00795243	 -0.00745464	 -0.0464256	 0	 -0.00083238	 
24	 |	 -0.0139506	 -0.055874	 -0.00720599	 0	 -0.00966494	 -0.00871147	 -0.0467583	 0	 -0.00536535	 
25	 |	 -0.0180436	 -0.0275144	 -0.00610788	 0	 -0.010356	 -0.00682771	 -0.0238444	 0	 -0.00108412	 
26	 |	 -0.0185429	 -0.0281152	 -0.00664736	 0	 -0.0119755	 -0.00801129	 -0.0244441	 0	 -0.00554861	 
27	 |	 -0.0203078	 -0.0169109	 -0.00543462	 0	 -0.0124185	 -0.00606822	 -0.0156074	 0	 -0.00161864	 
28	 |	 -0.0207439	 -0.0175659	 -0.00611848	 0	 -0.0140434	 -0.00713313	 -0.0162866	 0	 -0.0061511	 
29	 |	 -0.022272	 -0.00791016	 -0.00416899	 0	 -0.0156213	 -0.00456635	 -0.00904528	 0	 -0.00318112	 
30	 |	 -0.0227815	 -0.00847357	 -0.00469221	 0	 -0.0174065	 -0.00546079	 -0.00951226	 0	 -0.00749449	 
31	 |	 -0.0233586	 0	 0	 0	 -0.0243284	 0	 0	 0	 -0.0160809	 
32	 |	 -0.0241422	 0	 0	 0	 -0.0256186	 0	 0	 0	 -0.0166568	 
33	 |	 -0.00749526	 -0.190302	 -0.00648841	 0	 -0.00569259	 -0.00941794	 -0.158233	 0	 -0.00041959	 
34	 |	 -0.00778117	 -0.189419	 -0.00688478	 0	 -0.00674887	 -0.0122331	 -0.158203	 0	 -0.00297553	 
35	 |	 -0.00940621	 -0.114026	 -0.00654674	 0	 -0.00621378	 -0.00941397	 -0.0938769	 0	 -0.00045295	 
36	 |	 -0.00970495	 -0.114807	 -0.00704809	 0	 -0.0072804	 -0.0121434	 -0.0939266	 0	 -0.00299521	 
37	 |	 -0.00983372	 -0.104379	 -0.00656957	 0	 -0.00634671	 -0.0093674	 -0.0856331	 0	 -0.00045657	 
38	 |	 -0.0101097	 -0.105212	 -0.00708342	 0	 -0.00741189	 -0.0120973	 -0.0857732	 0	 -0.00301326	 
39	 |	 -0.0135786	 -0.0567184	 -0.00647033	 0	 -0.00763514	 -0.00911349	 -0.0458756	 0	 -0.00051948	 
40	 |	 -0.0138317	 -0.0577182	 -0.00708357	 0	 -0.00874799	 -0.0116427	 -0.0462085	 0	 -0.00319844	 
41	 |	 -0.0180641	 -0.0283872	 -0.00604193	 0	 -0.0101113	 -0.00838177	 -0.0232992	 0	 -0.00073726	 
42	 |	 -0.0185735	 -0.0291103	 -0.00655785	 0	 -0.0112546	 -0.0107092	 -0.0237229	 0	 -0.00352781	 
43	 |	 -0.0203004	 -0.017593	 -0.00532687	 0	 -0.0122522	 -0.00771746	 -0.0153171	 0	 -0.00128817	 
44	 |	 -0.0207783	 -0.0183453	 -0.0059245	 0	 -0.0134594	 -0.00968245	 -0.0159649	 0	 -0.0042699	 
45	 |	 -0.0221892	 -0.00841051	 -0.00407574	 0	 -0.0154986	 -0.00607686	 -0.0086929	 0	 -0.00285151	 
46	 |	 -0.0227944	 -0.00915732	 -0.00463847	 0	 -0.0169474	 -0.00777075	 -0.00913225	 0	 -0.00583465	 
47	 |	 -0.0233309	 0	 0	 0	 -0.0243233	 0	 0	 0	 -0.0161702	 
48	 |	 -0.0240926	 0	 0	 0	 -0.0255563	 0	 0	 0	 -0.0165946	 
49	 |	 -0.0114248	 -0.189116	 -0.0167011	 0	 -0.0110572	 -0.00229055	 -0.157873	 0	 -0.00065147	 
