index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
1	 |	 -0.157239	 0	 -0.00392706	 0	 -0.0092743	 
2	 |	 -0.166911	 0	 -0.00599687	 0	 -0.00661824	 
3	 |	 -0.167344	 0	 -0.0126348	 0	 0	 
4	 |	 -0.0938779	 0	 -0.00427792	 0	 -0.00891204	 
5	 |	 -0.10286	 0	 -0.00629423	 0	 -0.00648334	 
6	 |	 -0.104863	 0	 -0.0129367	 0	 0	 
7	 |	 -0.08582	 0	 -0.00436476	 0	 -0.00883965	 
8	 |	 -0.0947163	 0	 -0.00636869	 0	 -0.00644922	 
9	 |	 -0.0967594	 0	 -0.0130141	 0	 0	 
10	 |	 -0.0475495	 0	 -0.00515515	 0	 -0.0081418	 
11	 |	 -0.0552051	 0	 -0.00711956	 0	 -0.00623129	 
12	 |	 -0.0572367	 0	 -0.0137248	 0	 0	 
13	 |	 -0.0333323	 0	 -0.00590175	 0	 -0.00756298	 
14	 |	 -0.0403596	 0	 -0.00782717	 0	 -0.00597548	 
15	 |	 -0.0415883	 0	 -0.0144549	 0	 0	 
16	 |	 -0.0258403	 0	 -0.00658962	 0	 -0.00699165	 
17	 |	 -0.0318315	 0	 -0.00856822	 0	 -0.0057778	 
18	 |	 -0.0334226	 0	 -0.0150554	 0	 0	 
19	 |	 -0.0210715	 0	 -0.00723047	 0	 -0.00650522	 
20	 |	 -0.0264391	 0	 -0.00920213	 0	 -0.00556818	 
21	 |	 -0.0281786	 0	 -0.0156949	 0	 0	 
22	 |	 -0.0152035	 0	 -0.00842762	 0	 -0.0057913	 
23	 |	 -0.0198592	 0	 -0.0105195	 0	 -0.00509902	 
24	 |	 -0.0213271	 0	 -0.0168873	 0	 0	 
25	 |	 -0.0106851	 0	 -0.0100374	 0	 -0.00480079	 
26	 |	 -0.0141512	 0	 -0.0123291	 0	 -0.00449924	 
27	 |	 -0.0154231	 0	 -0.0184777	 0	 0	 
28	 |	 -0.00737265	 0	 -0.0118812	 0	 -0.00385535	 
29	 |	 -0.0100292	 0	 -0.0143423	 0	 -0.00393124	 
30	 |	 -0.0108698	 0	 -0.0203284	 0	 0	 
31	 |	 -0.00549571	 0	 -0.0134002	 0	 -0.00327072	 
32	 |	 -0.00750462	 0	 -0.0160849	 0	 -0.00342849	 
33	 |	 -0.0081102	 0	 -0.0218076	 0	 0	 
34	 |	 0	 0	 -0.0219911	 0	 0	 
35	 |	 0	 0	 -0.0264354	 0	 0	 
36	 |	 0	 0	 -0.028099	 0	 0	 
37	 |	 -0.163586	 0	 -0.00323837	 0	 -0.00479307	 
38	 |	 -0.17107	 0	 -0.00510484	 0	 -0.00455816	 
39	 |	 -0.173322	 0	 -0.0102453	 0	 0	 
40	 |	 -0.0995559	 0	 -0.00357042	 0	 -0.00488932	 
41	 |	 -0.107211	 0	 -0.00544019	 0	 -0.00458283	 
42	 |	 -0.10912	 0	 -0.0106747	 0	 0	 
43	 |	 -0.0914005	 0	 -0.00365228	 0	 -0.00491241	 
44	 |	 -0.0989511	 0	 -0.00553714	 0	 -0.00459697	 
45	 |	 -0.100551	 0	 -0.0107791	 0	 0	 
46	 |	 -0.0522554	 0	 -0.00444337	 0	 -0.00500785	 
47	 |	 -0.0590034	 0	 -0.00632548	 0	 -0.00464247	 
48	 |	 -0.061033	 0	 -0.0117443	 0	 0	 
49	 |	 -0.0374643	 0	 -0.00518473	 0	 -0.00507389	 
50	 |	 -0.0434477	 0	 -0.00708374	 0	 -0.00462127	 
51	 |	 -0.0451685	 0	 -0.012483	 0	 0	 
52	 |	 -0.0293846	 0	 -0.00589	 0	 -0.0049703	 
