index	 |	 c12	 c1t	 c1b	 c1tb	 c1e	 
1	 |	 -0.178844	 -0.0131944	 -0.00417077	 3.77e-06	 -0.00461923	 
2	 |	 -0.184019	 -0.0148453	 -0.00648018	 -4.33e-06	 -0.00148078	 
3	 |	 -0.183412	 -0.0156309	 -0.00697251	 -6.46e-06	 0	 
4	 |	 -0.103864	 -0.0156003	 -0.00463701	 4.33e-06	 -0.00419243	 
5	 |	 -0.108441	 -0.0170403	 -0.00691707	 -5.54e-06	 -0.00143984	 
6	 |	 -0.108673	 -0.0178675	 -0.00742647	 -1.392e-05	 0	 
7	 |	 -0.094331	 -0.0161865	 -0.00475542	 4.48e-06	 -0.00409954	 
8	 |	 -0.0987137	 -0.0175944	 -0.00703537	 -5.77e-06	 -0.00140645	 
9	 |	 -0.0990774	 -0.0184157	 -0.00754765	 -1.453e-05	 0	 
10	 |	 -0.0476044	 -0.0216922	 -0.00593332	 -7.5e-06	 -0.00348212	 
11	 |	 -0.051665	 -0.023093	 -0.0082001	 -1.715e-05	 -0.00122185	 
12	 |	 -0.0517449	 -0.0236967	 -0.00861228	 -3.039e-05	 0	 
13	 |	 -0.0298511	 -0.0264279	 -0.0070433	 -8.852e-05	 -0.00291863	 
14	 |	 -0.0330623	 -0.0277422	 -0.00934628	 -7.042e-05	 -0.00103201	 
15	 |	 -0.0335171	 -0.0281299	 -0.00966779	 -9.189e-05	 0	 
16	 |	 -0.0203146	 -0.0300359	 -0.00811034	 -0.00035963	 -0.00243339	 
17	 |	 -0.0229145	 -0.031264	 -0.0103515	 -0.00036171	 -0.00084428	 
18	 |	 -0.0232409	 -0.031592	 -0.0106357	 -0.00037414	 0	 
19	 |	 -0.0144937	 -0.0326255	 -0.00895839	 -0.00087192	 -0.00197876	 
20	 |	 -0.0164624	 -0.034162	 -0.011202	 -0.00091445	 -0.00079376	 
21	 |	 -0.0168016	 -0.0345049	 -0.011579	 -0.00092809	 0	 
22	 |	 -0.00786763	 -0.0365805	 -0.0102516	 -0.00279749	 -0.00124863	 
23	 |	 -0.00930275	 -0.0380431	 -0.0125801	 -0.00285399	 -0.00051809	 
24	 |	 -0.00938183	 -0.0382711	 -0.0128019	 -0.00286956	 0	 
25	 |	 -0.00352141	 -0.0393105	 -0.0114267	 -0.00753985	 -0.00063679	 
26	 |	 -0.00435942	 -0.0410652	 -0.013754	 -0.00761909	 -0.00020153	 
27	 |	 -0.00435401	 -0.041209	 -0.014001	 -0.00768249	 0	 
28	 |	 -0.00133899	 -0.0412241	 -0.0121344	 -0.0162997	 -0.00019917	 
29	 |	 -0.00164067	 -0.0429385	 -0.0145843	 -0.0164292	 -7.583e-05	 
30	 |	 -0.0016864	 -0.0429289	 -0.0147675	 -0.0164554	 0	 
31	 |	 -0.00055231	 -0.0418622	 -0.0124211	 -0.026286	 -8.439e-05	 
32	 |	 -0.00068146	 -0.043609	 -0.0149117	 -0.0264605	 -3.258e-05	 
33	 |	 -0.00065695	 -0.0435075	 -0.0150575	 -0.0264367	 0	 
34	 |	 0	 -0.0422543	 -0.0126233	 -0.269275	 0	 
35	 |	 0	 -0.0439455	 -0.0150628	 -0.269357	 0	 
36	 |	 0	 -0.0439809	 -0.015243	 -0.269255	 0	 
37	 |	 -0.182805	 -0.0126169	 -0.00380322	 2.26e-06	 -0.00150351	 
38	 |	 -0.186474	 -0.0136308	 -0.0058341	 1.628e-05	 -0.00062119	 
39	 |	 -0.185793	 -0.0139881	 -0.00612706	 -6.25e-06	 0	 
40	 |	 -0.107565	 -0.0150708	 -0.00427466	 3.82e-06	 -0.00143642	 
41	 |	 -0.111113	 -0.0161082	 -0.00635175	 1.277e-05	 -0.00060838	 
42	 |	 -0.111124	 -0.0164067	 -0.00664878	 -3.78e-06	 0	 
43	 |	 -0.0979712	 -0.0156484	 -0.00439472	 6.89e-06	 -0.00142187	 
44	 |	 -0.101184	 -0.0168151	 -0.00646238	 2.715e-05	 -0.00067129	 
45	 |	 -0.101575	 -0.0169571	 -0.00676651	 -7.54e-06	 0	 
46	 |	 -0.0505321	 -0.0212222	 -0.00563058	 -5.82e-06	 -0.00125797	 
47	 |	 -0.05369	 -0.0223663	 -0.00769521	 -8.66e-06	 -0.00056879	 
48	 |	 -0.0535278	 -0.0226477	 -0.00797286	 -2.225e-05	 0	 
49	 |	 -0.0321231	 -0.0260378	 -0.00675861	 -0.00010174	 -0.00115089	 
50	 |	 -0.0345192	 -0.027187	 -0.00891345	 -0.00014835	 -0.00050079	 
51	 |	 -0.0347557	 -0.0273743	 -0.0091692	 -0.00014217	 0	 
52	 |	 -0.0223153	 -0.0296825	 -0.0078273	 -0.00041273	 -0.00101851	 
53	 |	 -0.0242215	 -0.0308939	 -0.00999371	 -0.00048622	 -0.00042668	 
54	 |	 -0.0245776	 -0.0308825	 -0.0102539	 -0.00043721	 0	 
55	 |	 -0.01596	 -0.0325799	 -0.0087134	 -0.00100696	 -0.00085659	 
56	 |	 -0.0177741	 -0.0336929	 -0.010872	 -0.00098432	 -0.00032518	 
57	 |	 -0.0181572	 -0.0337041	 -0.0111682	 -0.00102961	 0	 
58	 |	 -0.00874474	 -0.0362412	 -0.0100906	 -0.00300564	 -0.00058093	 
59	 |	 -0.00981806	 -0.0378802	 -0.0123379	 -0.00301575	 -0.00027403	 
60	 |	 -0.00987398	 -0.0380527	 -0.0126781	 -0.00305363	 0	 
61	 |	 -0.00388907	 -0.039355	 -0.0113497	 -0.00796942	 -0.00027168	 
62	 |	 -0.00437516	 -0.0410775	 -0.0137871	 -0.00801989	 -0.00015591	 
63	 |	 -0.00452668	 -0.0412339	 -0.0139541	 -0.00803063	 0	 
64	 |	 -0.0014401	 -0.0412824	 -0.0121175	 -0.0167714	 -0.00010292	 
65	 |	 -0.00172102	 -0.0429102	 -0.0145771	 -0.0168466	 -4.826e-05	 
66	 |	 -0.0017045	 -0.0430154	 -0.0147891	 -0.0168645	 0	 
67	 |	 -0.00055075	 -0.0416306	 -0.0123915	 -0.0269571	 -5.872e-05	 
68	 |	 -0.00066591	 -0.0434717	 -0.0147882	 -0.027063	 -1.749e-05	 
69	 |	 -0.00057139	 -0.043659	 -0.0150907	 -0.0270119	 0	 
70	 |	 0	 -0.0420478	 -0.0126337	 -0.271996	 0	 
71	 |	 0	 -0.0439411	 -0.015082	 -0.27222	 0	 
72	 |	 0	 -0.0440181	 -0.0152423	 -0.271851	 0	 
73	 |	 -0.184653	 -0.012523	 -0.00370018	 5.06e-06	 -1.4e-06	 
74	 |	 -0.188573	 -0.0133808	 -0.00553833	 -2.76e-06	 -7.4e-07	 
75	 |	 -0.188919	 -0.0133242	 -0.00568263	 -1.014e-05	 0	 
76	 |	 -0.109115	 -0.0149371	 -0.00418748	 6e-06	 -1.36e-06	 
77	 |	 -0.112529	 -0.0158465	 -0.00605274	 -2.55e-06	 -1.47e-06	 
78	 |	 -0.112476	 -0.0157435	 -0.00621185	 -9.23e-06	 0	 
79	 |	 -0.0992939	 -0.015574	 -0.00430982	 6.44e-06	 -4.04e-06	 
80	 |	 -0.102751	 -0.0164678	 -0.00618222	 -4.57e-06	 -1.71e-06	 
81	 |	 -0.102842	 -0.0163482	 -0.00635421	 -8.46e-06	 0	 
82	 |	 -0.0521518	 -0.0211882	 -0.00550741	 -2.123e-05	 -8.6e-07	 
83	 |	 -0.0543462	 -0.0221968	 -0.00748552	 -1.851e-05	 -2.91e-06	 
84	 |	 -0.0544579	 -0.0222463	 -0.00763387	 -5.464e-05	 0	 
85	 |	 -0.033523	 -0.0256815	 -0.00666732	 -0.00014794	 -2.28e-06	 
86	 |	 -0.0355292	 -0.0269842	 -0.00872256	 -0.00021243	 -7.8e-07	 
87	 |	 -0.0354609	 -0.0270311	 -0.00884768	 -0.00021117	 0	 
88	 |	 -0.0234306	 -0.0294649	 -0.00771243	 -0.00058068	 1.55e-06	 
89	 |	 -0.0249385	 -0.0308398	 -0.00984474	 -0.0006182	 3.9e-07	 
90	 |	 -0.0250558	 -0.0307367	 -0.00999714	 -0.00064569	 0	 
91	 |	 -0.0170575	 -0.0325566	 -0.00864415	 -0.00129858	 -1.46e-06	 
92	 |	 -0.0181182	 -0.033759	 -0.0107829	 -0.00134368	 -4.2e-07	 
93	 |	 -0.018237	 -0.0338155	 -0.0109787	 -0.00130665	 0	 
94	 |	 -0.00947685	 -0.0363585	 -0.0100517	 -0.00368503	 -9.3e-07	 
95	 |	 -0.0101971	 -0.0378826	 -0.0123168	 -0.00368467	 -3.1e-07	 
96	 |	 -0.0105454	 -0.0377141	 -0.0124621	 -0.00372074	 0	 
97	 |	 -0.00428617	 -0.0394165	 -0.0113323	 -0.00895428	 -2.96e-06	 
98	 |	 -0.00470087	 -0.0408894	 -0.013719	 -0.00902569	 -2.23e-06	 
99	 |	 -0.00466847	 -0.0410246	 -0.0138325	 -0.00906609	 0	 
100	 |	 -0.00155625	 -0.0409284	 -0.0121099	 -0.0182033	 -2.55e-06	 
101	 |	 -0.00179058	 -0.0429778	 -0.014532	 -0.018187	 -9.8e-07	 
102	 |	 -0.00171165	 -0.0430181	 -0.0147589	 -0.0187336	 0	 
103	 |	 -0.0006423	 -0.0415093	 -0.0124169	 -0.0283124	 -1.59e-06	 
104	 |	 -0.00079343	 -0.0433653	 -0.0148915	 -0.0284274	 -1.81e-06	 
105	 |	 -0.00070177	 -0.0436856	 -0.0150808	 -0.0284447	 0	 
106	 |	 0	 -0.0421707	 -0.0126191	 -0.295232	 0	 
107	 |	 0	 -0.0438906	 -0.0150536	 -0.295675	 0	 
108	 |	 0	 -0.0440143	 -0.0153323	 -0.295251	 0	 
109	 |	 -0.182772	 -0.029065	 -0.00866822	 2.4e-06	 -0.00634185	 
110	 |	 -0.18614	 -0.0297072	 -0.0106394	 1.628e-05	 -0.0020112	 
111	 |	 -0.186259	 -0.0311185	 -0.0112958	 1.1e-07	 0	 
112	 |	 -0.107481	 -0.0318384	 -0.00919168	 9.6e-07	 -0.0056913	 
113	 |	 -0.110902	 -0.0324193	 -0.0111745	 1.988e-05	 -0.00173556	 
114	 |	 -0.110964	 -0.0332286	 -0.0117459	 -6.69e-06	 0	 
115	 |	 -0.0977057	 -0.0323739	 -0.00933371	 6.5e-06	 -0.0054886	 
116	 |	 -0.101202	 -0.033277	 -0.0112931	 2.715e-05	 -0.00169924	 
117	 |	 -0.101921	 -0.0339324	 -0.0118647	 -7.54e-06	 0	 
118	 |	 -0.0504639	 -0.0383894	 -0.0106514	 -5.86e-06	 -0.00433611	 
119	 |	 -0.0535503	 -0.0392137	 -0.0125561	 -8.67e-06	 -0.0014511	 
120	 |	 -0.0535282	 -0.0400075	 -0.0130491	 -2.226e-05	 0	 
121	 |	 -0.0320075	 -0.0434017	 -0.0119171	 -0.00010185	 -0.00360251	 
122	 |	 -0.034674	 -0.0439662	 -0.013792	 -0.00014836	 -0.00117248	 
123	 |	 -0.034748	 -0.0445962	 -0.0141674	 -0.00012125	 0	 
124	 |	 -0.022028	 -0.0471589	 -0.0131099	 -0.00041453	 -0.00292908	 
125	 |	 -0.0244367	 -0.0477229	 -0.0148672	 -0.00048611	 -0.00106206	 
126	 |	 -0.0242841	 -0.0482275	 -0.0152485	 -0.00043715	 0	 
127	 |	 -0.0158344	 -0.0502902	 -0.0141215	 -0.00099163	 -0.00233798	 
128	 |	 -0.0178081	 -0.0504411	 -0.015882	 -0.0009844	 -0.00076581	 
129	 |	 -0.0179088	 -0.0507884	 -0.0161431	 -0.00102955	 0	 
130	 |	 -0.00883305	 -0.0543132	 -0.0156417	 -0.00300607	 -0.00143722	 
131	 |	 -0.0100415	 -0.0547775	 -0.0174865	 -0.00301785	 -0.0004639	 
132	 |	 -0.0103182	 -0.0546669	 -0.0176237	 -0.00305354	 0	 
133	 |	 -0.0040423	 -0.0575417	 -0.0169904	 -0.00796151	 -0.00069149	 
134	 |	 -0.00462866	 -0.0578643	 -0.0187699	 -0.00801838	 -0.00021166	 
135	 |	 -0.00475862	 -0.0581876	 -0.018994	 -0.00803221	 0	 
136	 |	 -0.00151679	 -0.0593799	 -0.0178484	 -0.0168376	 -0.00023844	 
137	 |	 -0.00178672	 -0.0596771	 -0.0196311	 -0.0168477	 -8.139e-05	 
138	 |	 -0.00174803	 -0.0597053	 -0.019767	 -0.0168637	 0	 
139	 |	 -0.00068789	 -0.0599284	 -0.0180645	 -0.0268924	 -6.843e-05	 
140	 |	 -0.00077854	 -0.0603465	 -0.0199285	 -0.0270153	 -2.756e-05	 
141	 |	 -0.00076588	 -0.0604848	 -0.0201082	 -0.0270107	 0	 
142	 |	 0	 -0.0605987	 -0.018377	 -0.270021	 0	 
143	 |	 0	 -0.060858	 -0.0201331	 -0.269909	 0	 
144	 |	 0	 -0.0609316	 -0.0202728	 -0.269803	 0	 
145	 |	 -0.18861	 -0.0281683	 -0.00811473	 4.1e-06	 -0.00233846	 
146	 |	 -0.190855	 -0.0286884	 -0.00991154	 4.266e-05	 -0.0008289	 
147	 |	 -0.190865	 -0.0292015	 -0.0102524	 -5.9e-07	 0	 
148	 |	 -0.112491	 -0.03106	 -0.00867198	 3.3e-07	 -0.00218845	 
149	 |	 -0.114291	 -0.0314125	 -0.0104687	 4.465e-05	 -0.00076925	 
150	 |	 -0.114423	 -0.0318526	 -0.0107811	 -1.9e-07	 0	 
151	 |	 -0.102578	 -0.0318997	 -0.0088212	 4.64e-06	 -0.00210432	 
152	 |	 -0.104422	 -0.0321025	 -0.0105997	 4.487e-05	 -0.0007546	 
153	 |	 -0.104095	 -0.0324413	 -0.0108678	 -0	 0	 
154	 |	 -0.053886	 -0.0379119	 -0.010228	 -8.57e-06	 -0.00178085	 
155	 |	 -0.055837	 -0.0380942	 -0.0119829	 -2.053e-05	 -0.00068071	 
156	 |	 -0.0556082	 -0.038383	 -0.0122456	 -1.402e-05	 0	 
157	 |	 -0.0349961	 -0.0429857	 -0.0115823	 -0.00015807	 -0.00149911	 
158	 |	 -0.0364539	 -0.0432546	 -0.0133611	 -0.00013221	 -0.00058004	 
159	 |	 -0.0365846	 -0.0435627	 -0.013604	 -0.00013637	 0	 
