index	 |	 c12	 c13	 c14	 c1t	 c1b	 c23	 c24	 c2t	 c2b	 
1	 |	 -0.00748731	 -0.157247	 -0.00705707	 0	 -0.00480055	 -0.00694615	 -0.15918	 0	 -0.00073393	 
2	 |	 -0.00783308	 -0.157299	 -0.00821232	 0	 -0.00776653	 -0.00797391	 -0.15807	 0	 -0.00575765	 
3	 |	 -0.00929744	 -0.0927623	 -0.00707866	 0	 -0.00508266	 -0.0071301	 -0.0946304	 0	 -0.00074208	 
4	 |	 -0.00972465	 -0.093126	 -0.00822223	 0	 -0.00803006	 -0.00800335	 -0.0952753	 0	 -0.00577209	 
5	 |	 -0.00973766	 -0.0844776	 -0.00707743	 0	 -0.00516581	 -0.00710694	 -0.0862872	 0	 -0.00074272	 
6	 |	 -0.0101716	 -0.0847009	 -0.00819504	 0	 -0.00809434	 -0.00792189	 -0.086736	 0	 -0.00579402	 
7	 |	 -0.0134556	 -0.0446805	 -0.00691558	 0	 -0.00585355	 -0.00687383	 -0.0466785	 0	 -0.000767	 
8	 |	 -0.0138421	 -0.0454365	 -0.00802168	 0	 -0.00863286	 -0.00792531	 -0.0474682	 0	 -0.00583821	 
9	 |	 -0.0178459	 -0.0218419	 -0.00633588	 0	 -0.00711908	 -0.00632886	 -0.0241222	 0	 -0.00093259	 
10	 |	 -0.0184835	 -0.0225388	 -0.00730581	 0	 -0.00972541	 -0.00728343	 -0.0253469	 0	 -0.00607612	 
11	 |	 -0.0199813	 -0.0135898	 -0.00557099	 0	 -0.00819541	 -0.00553698	 -0.0161115	 0	 -0.00127285	 
12	 |	 -0.020573	 -0.0141736	 -0.00661921	 0	 -0.010683	 -0.00654548	 -0.0171072	 0	 -0.00646679	 
13	 |	 -0.0219482	 -0.00674721	 -0.00431869	 0	 -0.00998865	 -0.00428995	 -0.00962773	 0	 -0.00233628	 
14	 |	 -0.0226078	 -0.00733217	 -0.00512591	 0	 -0.0123571	 -0.00505666	 -0.0103451	 0	 -0.00743938	 
15	 |	 -0.0233815	 0	 0	 0	 -0.0174742	 0	 0	 0	 -0.0144588	 
16	 |	 -0.0241463	 0	 0	 0	 -0.0190384	 0	 0	 0	 -0.0156437	 
17	 |	 -0.00744322	 -0.160089	 -0.00649635	 0	 -0.00431637	 -0.0078971	 -0.158424	 0	 -0.00070681	 
18	 |	 -0.00783322	 -0.160308	 -0.00722089	 0	 -0.00668575	 -0.00974584	 -0.159102	 0	 -0.00535823	 
19	 |	 -0.00924617	 -0.0953404	 -0.0065935	 0	 -0.00462513	 -0.00786626	 -0.0941696	 0	 -0.00070892	 
20	 |	 -0.00961269	 -0.0962209	 -0.0073312	 0	 -0.00698101	 -0.00949527	 -0.0946915	 0	 -0.0054045	 
21	 |	 -0.00968466	 -0.0870681	 -0.0066086	 0	 -0.00469559	 -0.00776955	 -0.0857247	 0	 -0.00071739	 
22	 |	 -0.0100135	 -0.0869899	 -0.00739602	 0	 -0.00705395	 -0.00946301	 -0.0865208	 0	 -0.0054171	 
23	 |	 -0.0134142	 -0.0467597	 -0.00660078	 0	 -0.00543078	 -0.00750039	 -0.0465452	 0	 -0.00074585	 
24	 |	 -0.0138679	 -0.047643	 -0.00738369	 0	 -0.00772794	 -0.00896037	 -0.0471329	 0	 -0.0055143	 
25	 |	 -0.0178165	 -0.0234417	 -0.00607147	 0	 -0.00677165	 -0.00680486	 -0.0238612	 0	 -0.00092125	 
26	 |	 -0.018455	 -0.0241246	 -0.00676753	 0	 -0.00904375	 -0.00811124	 -0.0248999	 0	 -0.00582574	 
27	 |	 -0.0199956	 -0.0146213	 -0.00540413	 0	 -0.00794079	 -0.00600977	 -0.0158558	 0	 -0.00126225	 
28	 |	 -0.0206015	 -0.0151203	 -0.00622967	 0	 -0.0101403	 -0.00720178	 -0.0167547	 0	 -0.00619943	 
29	 |	 -0.0218505	 -0.007377	 -0.00417411	 0	 -0.00984865	 -0.00465219	 -0.00939308	 0	 -0.00231111	 
30	 |	 -0.0225663	 -0.00782808	 -0.00494474	 0	 -0.0120682	 -0.00566842	 -0.0100524	 0	 -0.00715004	 
31	 |	 -0.0232479	 0	 0	 0	 -0.0173766	 0	 0	 0	 -0.014514	 
32	 |	 -0.0240958	 0	 0	 0	 -0.0190414	 0	 0	 0	 -0.0156617	 
33	 |	 -0.0074278	 -0.162326	 -0.0064128	 0	 -0.00393256	 -0.00959417	 -0.157413	 0	 -0.00040468	 
34	 |	 -0.00778815	 -0.162772	 -0.00680043	 0	 -0.00522678	 -0.0130659	 -0.158442	 0	 -0.00328406	 
35	 |	 -0.00928361	 -0.097262	 -0.0064936	 0	 -0.00425005	 -0.00951336	 -0.0937306	 0	 -0.00042191	 
36	 |	 -0.0095143	 -0.0978161	 -0.00705402	 0	 -0.00555955	 -0.0129007	 -0.0941104	 0	 -0.00334274	 
37	 |	 -0.00973001	 -0.0889656	 -0.00650585	 0	 -0.00432522	 -0.00945093	 -0.0854652	 0	 -0.00042082	 
38	 |	 -0.00992255	 -0.089677	 -0.00710542	 0	 -0.00563486	 -0.0128576	 -0.0859573	 0	 -0.00335906	 
