1	 |	 -0.00173152	 -0.192547	 -0.00387356	 0	 -0.00713512	 -0.00391397	 -0.165578	 0	 -0.00072551	 
2	 |	 -0.00225547	 -0.192577	 -0.0053141	 0	 -0.0104802	 -0.00534264	 -0.16758	 0	 -0.00658228	 
3	 |	 -0.00214775	 -0.11731	 -0.00414507	 0	 -0.00754014	 -0.004102	 -0.101821	 0	 -0.00068578	 
4	 |	 -0.00273059	 -0.11787	 -0.00545128	 0	 -0.0107199	 -0.00548093	 -0.103789	 0	 -0.00649706	 
5	 |	 -0.00226149	 -0.107656	 -0.0041624	 0	 -0.00763437	 -0.00413957	 -0.0936144	 0	 -0.00067735	 
6	 |	 -0.00284702	 -0.108265	 -0.00546584	 0	 -0.0107753	 -0.00550915	 -0.09559	 0	 -0.00648101	 
7	 |	 -0.00323073	 -0.0605714	 -0.00444567	 0	 -0.00881511	 -0.00449867	 -0.0541868	 0	 -0.00063117	 
8	 |	 -0.00403319	 -0.0617223	 -0.00574503	 0	 -0.0116612	 -0.00580731	 -0.0560957	 0	 -0.00643059	 
9	 |	 -0.00498221	 -0.0319146	 -0.00485576	 0	 -0.0111262	 -0.00487915	 -0.0304733	 0	 -0.00071265	 
10	 |	 -0.00595465	 -0.0328836	 -0.00599219	 0	 -0.0136091	 -0.00604766	 -0.0321809	 0	 -0.00639476	 
11	 |	 -0.00628031	 -0.0204057	 -0.00479047	 0	 -0.0132384	 -0.00489102	 -0.0212199	 0	 -0.00100732	 
12	 |	 -0.00737206	 -0.0212113	 -0.00578859	 0	 -0.0154968	 -0.00594431	 -0.0227055	 0	 -0.00659767	 
13	 |	 -0.00788296	 -0.0100356	 -0.00424644	 0	 -0.0167678	 -0.00431653	 -0.0128729	 0	 -0.00199095	 
14	 |	 -0.00909573	 -0.010742	 -0.00503065	 0	 -0.0188098	 -0.00525031	 -0.0140368	 0	 -0.00745008	 
15	 |	 -0.00954521	 0	 0	 0	 -0.0265152	 0	 0	 0	 -0.0165143	 
16	 |	 -0.0108484	 0	 0	 0	 -0.0279693	 0	 0	 0	 -0.0177101	 
